day,value.month
1986-04-30,1.3700
1986-05-31,1.3200
1986-06-30,1.5700
1986-07-31,2.2300
1986-08-31,2.9000
1986-09-30,3.3000
1986-10-31,3.4500
1986-11-30,5.2200
1986-12-31,10.5000
1987-01-31,14.6500
1987-02-28,22.2600
1987-03-31,14.0000
1987-04-30,16.7000
1987-05-31,25.6900
1987-06-30,18.8900
1987-07-31,9.4700
1987-08-31,8.4800
1987-09-30,8.7300
1987-10-31,10.4100
1987-11-30,13.7400
1987-12-31,15.6100
1988-01-31,17.2300
1988-02-29,18.6500
1988-03-31,16.9100
1988-04-30,20.2300
1988-05-31,18.6700
1988-06-30,20.2200
1988-07-31,24.4900
1988-08-31,22.6800
1988-09-30,25.9900
1988-10-31,29.4800
1988-11-30,27.9200
1988-12-31,30.0400
1989-01-31,23.8700
1989-02-28,19.3600
1989-03-31,20.5600
1989-04-30,11.4700
1989-05-31,11.5900
1989-06-30,27.3400
1989-07-31,32.7600
1989-08-31,35.4100
1989-09-30,38.3500
1989-10-31,47.2400
1989-11-30,48.0700
1989-12-31,64.2200
1990-01-31,68.2300
1990-02-28,79.9400
1990-03-31,36.3900
1990-04-30,5.1200
1990-05-31,5.9400
1990-06-30,9.3800
1990-07-31,14.3400
1990-08-31,12.6500
1990-09-30,17.5000
1990-10-31,21.9700
1990-11-30,23.0500
1990-12-31,27.7800
1991-01-31,23.4600
1991-02-28,8.7200
1991-03-31,10.0100
1991-04-30,12.4900
1991-05-31,12.6400
1991-06-30,10.6600
1991-07-31,13.2600
1991-08-31,15.9700
1991-09-30,20.0100
1991-10-31,26.1000
1991-11-30,31.9800
1991-12-31,30.4600
1992-01-31,29.0700
1992-02-29,30.3200
1992-03-31,25.2000
1992-04-30,23.7500
1992-05-31,22.9400
1992-06-30,24.2400
1992-07-31,26.3100
1992-08-31,25.7300
1992-09-30,27.6500
1992-10-31,28.1900
1992-11-30,26.0900
1992-12-31,26.0600
1993-01-31,28.7800
1993-02-28,28.5600
1993-03-31,28.5400
1993-04-30,30.3900
1993-05-31,30.9300
1993-06-30,31.8000
1993-07-31,32.7900
1993-08-31,34.8000
1993-09-30,37.4300
1993-10-31,38.3900
1993-11-30,38.0700
1993-12-31,40.6400
1994-01-31,43.2500
1994-02-28,41.4600
1994-03-31,46.9800
1994-04-30,45.9700
1994-05-31,48.1200
1994-06-30,48.4300
1994-07-31,6.6800
1994-08-31,4.1600
1994-09-30,3.8500
1994-10-31,3.6500
1994-11-30,4.1100
1994-12-31,3.8400
1995-01-31,3.4800
1995-02-28,3.2400
1995-03-31,4.4100
1995-04-30,4.2200
1995-05-31,4.2700
1995-06-30,4.0500
1995-07-31,4.0100
1995-08-31,3.8100
1995-09-30,3.2500
1995-10-31,3.0600
1995-11-30,2.8400
1995-12-31,2.7300
1996-01-31,2.5600
1996-02-29,2.3100
1996-03-31,2.2000
1996-04-30,2.0300
1996-05-31,2.0000
1996-06-30,1.9400
1996-07-31,1.9100
1996-08-31,1.9500
1996-09-30,1.8800
1996-10-31,1.8600
1996-11-30,1.7900
1996-12-31,1.7900
