day,price
2025-06-04,1218.9
2025-06-04,1218.9
2025-06-04,1218.9
2025-06-05,1223.65
2025-06-06,1224.39
2025-06-07,1224.39
2025-06-08,1224.39
2025-06-09,1220.57
2025-06-10,1211.66
2025-06-11,1205.74
2025-06-12,1216.79
2025-06-13,1213.18
2025-06-14,1213.18
2025-06-15,1213.18
2025-06-16,1228.6
2025-06-17,1233.36
2025-06-18,1238.25
2025-06-19,1238.25
2025-06-20,1254.21
2025-06-21,1254.21
2025-06-22,1254.21
2025-06-23,1259.07
2025-06-24,1246.33
2025-06-25,1231.58
2025-06-26,1236.35
2025-06-27,1247.45
2025-06-28,1247.45
2025-06-29,1247.45
2025-06-30,1258.85
2025-07-01,1263.69
2025-07-02,1268.55
