day,price
2025-06-04,8136.41
2025-06-04,8136.41
2025-06-04,8136.41
2025-06-05,8116.23
2025-06-06,8132.79
2025-06-07,8132.79
2025-06-08,8132.79
2025-06-09,8137.79
2025-06-10,8133.37
2025-06-11,8092.3
2025-06-12,8105.6
2025-06-13,8115.76
2025-06-14,8115.76
2025-06-15,8115.76
2025-06-16,8122.81
2025-06-17,8108.03
2025-06-18,8104.16
2025-06-19,8104.16
2025-06-20,8081.61
2025-06-21,8081.61
2025-06-22,8081.61
2025-06-23,8081.36
2025-06-24,8081.11
2025-06-25,8071.61
2025-06-26,8083.71
2025-07-01,7670.49
2025-07-02,7671.8
2025-07-03,7679.25
2025-07-04,7681.79
2025-07-05,7681.79
2025-07-06,7681.79
2025-07-07,7664.75
2025-07-08,7650.83
2025-07-09,7624.86
2025-07-10,7577.08
2025-07-11,7564.97
2025-07-12,7564.97
2025-07-13,7564.97
2025-07-14,7579.41
