day,price
2025-06-04,810.61
2025-06-04,810.61
2025-06-04,810.61
2025-06-05,814.72
2025-06-06,809.51
2025-06-07,809.51
2025-06-08,809.51
2025-06-09,807.93
2025-06-10,800.17
2025-06-11,794.87
2025-06-12,800.74
2025-06-13,799.3
2025-06-14,799.3
2025-06-15,799.3
2025-06-16,810.86
2025-06-17,811.15
2025-06-18,819.13
2025-06-19,819.13
2025-06-20,836.98
2025-06-21,836.98
2025-06-22,836.98
2025-06-23,843.17
2025-06-24,841.49
2025-06-25,824.29
2025-06-26,822.66
2025-06-27,828.59
2025-06-28,828.59
