day,price
2025-06-04,811.11
2025-06-04,811.11
2025-06-04,811.11
2025-06-05,809.65
2025-06-06,810.75
2025-06-07,810.75
2025-06-08,810.75
2025-06-09,812.07
2025-06-10,813.38
2025-06-11,813.04
2025-06-12,813.03
2025-06-13,813.79
2025-06-14,813.79
2025-06-15,813.79
2025-06-16,814.66
2025-06-17,814.1
2025-06-18,814.86
2025-06-19,814.86
2025-06-20,814.86
2025-06-21,814.86
2025-06-22,814.86
2025-06-23,815.51
2025-06-24,816.6
2025-06-25,816.38
2025-06-26,817.68
2025-06-27,818.0
2025-06-28,818.0
2025-06-29,818.0
2025-06-30,819.4
2025-07-01,819.73
2025-07-02,819.84
2025-07-03,820.27
2025-07-04,820.38
2025-07-05,820.38
2025-07-06,820.38
2025-07-07,820.39
2025-07-08,821.25
2025-07-09,821.89
2025-07-10,820.42
2025-07-11,821.07
2025-07-12,821.07
2025-07-13,821.07
2025-07-14,821.93
2025-07-15,821.74
2025-07-16,821.97
2025-07-17,822.61
2025-07-18,822.53
2025-07-19,822.53
2025-07-20,822.53
2025-07-21,823.7
2025-07-22,824.76
2025-07-23,825.41
2025-07-24,825.84
2025-07-25,826.28
2025-07-26,826.28
2025-07-27,826.28
2025-07-28,826.93
