day,price
2025-06-04,16674.32
2025-06-04,16674.32
2025-06-04,16674.32
2025-06-05,16683.63
2025-06-06,16692.89
2025-06-07,16692.89
2025-06-08,16692.89
2025-06-09,16702.06
2025-06-10,16711.19
2025-06-11,16720.61
2025-06-12,16730.47
2025-06-13,16739.75
2025-06-14,16739.75
2025-06-15,16739.75
2025-06-16,16749.11
2025-06-17,16758.41
2025-06-18,16767.79
2025-06-19,16767.79
2025-06-20,16777.2
2025-06-21,16777.2
2025-06-22,16777.2
2025-06-23,16786.5
2025-06-24,16795.67
2025-06-25,16804.77
2025-06-26,16813.68
2025-06-27,16822.73
2025-06-28,16822.73
2025-06-29,16822.73
2025-06-30,16831.88
2025-07-01,16841.21
2025-07-02,16850.62
2025-07-03,16860.06
2025-07-04,16869.4
2025-07-05,16869.4
